Activity,Activiteit
Add,Toevoegen
Add a folder,Map toevoegen
Add bar,Balk toevoegen
Add comment,Bericht toevoegen
Add directory,Map toevoegen
Add group,Groep toevoegen
Add subgroup,Sub groep toevoegen
Add task,Nieuwe taak
Admin Debugging,Admin Debugging
ago,geleden
All categories,Categorie overzicht
All Companies,Bedrijvenoverzicht
All companies,Bedrijvenoverzicht
All projects,Alle projecten
All schedules,Alle planningen
All task lists,Overzicht takenlijsten
All tasks,Takenoverzicht
All user groups,Alle gebruikers groepen
All users,Alle gebruikers
approved,Goedgekeurd
April,April
Are you sure you want to delete all versions of this file?,Weet u zeker dat u alle versies van dit bestand wilt verwijderen?
Are you sure you want to delete this comment?,Weet u zeker dat u dit bericht wilt verwijderen?
Are you sure you want to delete this company? This action can not be undone.,Weet u zeker dat u dit bedrijf wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this directory and all the files and directories inside it?,Weet u zeker dat u deze map en alle onderliggende bestanden en mappen wilt verwijderen?
Are you sure you want to delete this file?,Weet u zeker dat u dit bestand wilt verwijderen?
Are you sure you want to delete this group and all of it's children?,Weet u zeker dat u deze groep en alle onderliggende onderdelen wilt verwijderen?
Are you sure you want to delete this group? This action can not be undone.,Weet u zeker dat u deze groep wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this project? This action can not be undone.,Weet u zeker dat u dit project wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this schedule? This action can not be undone.,Weet u zeker dat u deze planning wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this task category? This action can not be undone.,Weet u zeker dat u deze categorie wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this task list? This action can not be undone.,Weet u zeker dat u deze takenlijst en alle gekoppelde taken wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this task? This action can not be undone.,Weet u zeker dat u deze taak wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt.
Are you sure you want to delete this user?,Weet u zeker dat u deze gebruiker wilt verwijderen?
August,Augustus
Back to all projects,Terug naar projectoverzicht
Back to all schedules,Terug naar planningoverzicht
Back to all task lists,Terug naar overzicht takenlijsten
Back to all tasks,Terug naar takenoverzicht
Back to permissions,Terug naar toegang beheer
Bar title,Voer hier de titel in
by,door
Cancel,Annuleren
Categories,Taak categorieën
Category,Categorie
Category description,Categorie omschrijving
Category information,Categorie informatie
Category name,Categorie naam
Category title,Categorie titel
click to add a description,Klik om omschrijving toe te voegen
Code,Code
comments,Berichten
Comments on,Berichten bij
commissioned,Opdracht
Companies,Bedrijven
Company,Bedrijf
Company description,Omschrijving bedrijf
Company ID,Bedrijf ID
Company information,Bedrijfsinformatie
Company name,Bedrijfsnaam
Completion date,Opleverdatum
Create,Opslaan
Create a project,Nieuw project
Create a schedule,Nieuwe planning
Create category,Nieuwe taak categorie
Create company,Nieuw bedrijf
Create group,Nieuwe groep
Create project,Nieuw project
Create schedule,Nieuwe planning
Create task,Nieuwe taak
Create task,Taak toevoegen
Create task category,Nieuwe categorie
Create task list,Nieuwe takenlijst
Create user,Nieuwe gebruiker
Create user group,Nieuwe gebruikers groep
Created,Aangemaakt
Creator state,Status eigenaar
Current activities (most recent 10),Lopende activiteiten (laatste 10)
Dashboard,Overzicht
December,December
Delete company,Verwijder bedrijf
Delete directory,Map verwijderen
Delete file,Bestand verwijderen
Delete group,Verwijder groep
Delete project,Project verwijderen
Delete schedule,Verwijder planning
Delete task,Verwijder taak
Delete task category,Verwijder categorie
Delete task list,Verwijder takenlijst
Delete user,Verwijder gebruiker
Description,Omschrijving
done,Gereed
Done,Gereed
Drag & drop files,Bestanden hier naar toe slepen en loslaten
E-mail address,E-mailadres
E-mail notifications,E-mail notificaties
Edit,Aanpassen
Edit category,Bewerk categorie
Edit company,Bewerk bedrijf
Edit group,Bewerk groep
Edit list,Bewerk takenlijst
Edit project,Project aanpassen
Edit schedule,Bewerk instellingen
Edit task,Bewerk taak
Edit task category,Bewerk categorie
Edit task list,Bewerk takenlijst
Edit user,Bewerk gebruiker
End date,Eind datum
Enter a new password if you want to change it,Voer een nieuw wachtwoord in wanneer u dit wilt wijzigen
Error while opening schedule,Fout bij openen van planning
Executor,Actiehouder
Executor state,Status actiehouder
Expected completion date,Verwachte opleverdatum
February,Februari
files,Bestanden
Files,Bestanden
Files attached to,Bestandoverzicht van
Folder name,Map titel
fr,vr
Group code,Groep code
Group ID,Groep ID
Group information,Groep informatie
Group name,Groepsnaam
Group permissions,Groep toegang beheer
Group title,Voer hier de titel in
Groups,Groepen
high,Hoog
ID,ID
idle,Niet gestart
January,Januari
Job description,Functie omschrijving
July,Juli
June,Juni
last updated,laatste wijziging gemaakt op
List description,Takenlijst omschrijving
List ID,Takenlijst ID
List information,Takenlijst informatie
List name,Takenlijst naam
Load more results,Laad meer resultaten
Log out,Uitloggen
low,Laag
Manage categories,Beheer taak categorieën
Manage settings,Bewerk instellingen
Manage task lists,Beheer takenlijsten
March,Maart
May,Mei
Metrics,Metrics
Invoices,Facturen
AFAS,AFAS
SalesEntries,SalesEntries
Customers,Klanten
Products,Producten
Orders,Bestellingen
Shipments,Zendingen
Exact,Exact
Custom module,Custom module
Optiply,Optiply
Optiply BuyOrder,Optiply BuyOrder
Optiply SellOrder,Optiply SellOrder
Optiply Suppliers,Optiply-leveranciers
Optiply Return,Optiply Return
mo,ma
Name,Naam
normal,Normaal
November,November
October,Oktober
Only alphanumeric characters. No spaces.,Alleen alfanumerieke karakters. Geen spaties.
Overdue activities (most recent 10),Activiteiten over tijd (laatste 10)
Owner,Eigenaar actie
Owner state,Status eigenaar
Partner ID,Partneridentificatie
Password,Wachtwoord
Permissions,Toegang beheer
Permissions for,Rechten beheer voor
Phone number,Telefoonnummer
Print,Print
Priority,Prioriteit
processing,In uitvoering
Profile picture,Profielfoto
Progress,Voortgang
Project,Project
Project description,Project omschrijving
Project end date,Project einddatum
Project ID,Project ID
Project ID,Project ID
Project settings,Project instellingen
Project start date,Project startdatum
Project title,Project naam
Projects,Projecten
purchase,Inkopen
Remove,Verwijder onderdeel
Resources,Resources
Resources for,Resources voor
sa,za
Save,Opslaan
Schedule,Planning
Schedule bar,Planning balk
Schedule description,Omschrijving
Schedule end date,Eind datum
Schedule group,Planning groep
Schedule ID,Planning ID
Schedule start date,Start datum
Schedule title,Naam
